,Model,Dataset,Condition,MAE,MSE,KL,Pearson R,Entropy Correlation,Expert Correlation
0,allenai/OLMo-2-1124-7B,Hu et al. 2025a,Linear_Representation,0.24353024902344186,0.08679528799385326,0.2627705757814246,0.5700450959021793,0.08280667206490534,-0.0518068151510474
1,allenai/OLMo-2-1124-7B,Hu et al. 2025a,Probability,0.27012809806122884,0.11040630446302792,0.29751077646132873,0.37028630772324367,-0.027969346156319883,-0.2433916066423465
2,allenai/OLMo-2-1124-7B,Hu et al. 2025a,PC,0.3198289082034945,0.14603177951520294,0.3759605720365207,-0.09269361035545728,0.08542141620229247,-0.281909846162186
3,allenai/OLMo-2-1124-7B,Hu et al. 2025a,Random,0.3021684950242149,0.13097152239186802,0.3447495093776474,0.17014293003898645,0.07081330755262326,0.015440017584620524
4,allenai/OLMo-2-1124-7B,Hu et al. 2025b,Linear_Representation,0.13261558662718181,0.03944759527263734,0.31561406080894394,0.757187259037538,0.5359042883621661,0.5767097845660513
5,allenai/OLMo-2-1124-7B,Hu et al. 2025b,Probability,0.22271623865194012,0.07978946030859659,0.6361823208107276,0.47676527746743985,0.3360198402390805,0.5472203640969644
6,allenai/OLMo-2-1124-7B,Hu et al. 2025b,PC,0.201454937415174,0.07205788710642462,0.5732326993040354,0.559012893518646,0.2519813425420438,0.47663929807012234
7,allenai/OLMo-2-1124-7B,Hu et al. 2025b,Random,0.2298726845934321,0.08613234557020379,0.6882484404318371,0.3909319098720967,0.367831447377059,0.5213434702167441
8,allenai/OLMo-2-1124-7B,Goulding,Linear_Representation,0.2147661509627791,0.09298764081970361,0.24838785724013035,0.6821037066710176,0.5393526453741022,0.41311001861805485
9,allenai/OLMo-2-1124-7B,Goulding,Probability,0.37317490451727536,0.17063952939709479,0.45215608315232203,0.1491783933529117,0.1573756932820598,0.06448161726998042
10,allenai/OLMo-2-1124-7B,Goulding,PC,0.2768908138432849,0.12123678236461628,0.33845249114708514,0.5526897217035556,0.2471091016533085,0.21918868048258522
11,allenai/OLMo-2-1124-7B,Goulding,Random,0.27151239241384684,0.11387020969273874,0.33533336016413506,0.5848542461874086,0.3485446734360877,0.2475506060081602
