,train_feature,fold,layer,condition,accuracy
122,improbable,0,24,inconceivable,0.8571428571428571
123,improbable,0,24,syntactic,0.8214285714285714
124,improbable,0,24,train,0.8125
125,improbable,0,25,improbable,0.7142857142857143
126,improbable,0,25,impossible,0.8214285714285714
127,improbable,0,25,inconceivable,0.7857142857142857
128,improbable,0,25,syntactic,0.8214285714285714
129,improbable,0,25,train,0.8035714285714286
130,impossible,0,0,improbable,0.5357142857142857
131,impossible,0,0,impossible,0.5
132,impossible,0,0,inconceivable,0.6428571428571429
133,impossible,0,0,syntactic,0.5357142857142857
134,impossible,0,0,train,0.7857142857142857
135,impossible,0,1,improbable,0.6785714285714286
136,impossible,0,1,impossible,0.6428571428571429
137,impossible,0,1,inconceivable,0.8571428571428571
138,impossible,0,1,syntactic,0.6785714285714286
139,impossible,0,1,train,0.8571428571428571
140,impossible,0,2,improbable,0.5
141,impossible,0,2,impossible,0.7142857142857143
142,impossible,0,2,inconceivable,0.6785714285714286
143,impossible,0,2,syntactic,0.9285714285714286
144,impossible,0,2,train,0.7767857142857143
145,impossible,0,3,improbable,0.5
146,impossible,0,3,impossible,0.75
147,impossible,0,3,inconceivable,0.8571428571428571
148,impossible,0,3,syntactic,0.9285714285714286
149,impossible,0,3,train,0.8392857142857143
150,impossible,0,4,improbable,0.6071428571428571
151,impossible,0,4,impossible,0.6428571428571429
152,impossible,0,4,inconceivable,0.9285714285714286
153,impossible,0,4,syntactic,1.0
154,impossible,0,4,train,0.8392857142857143
155,impossible,0,5,improbable,0.6428571428571429
156,impossible,0,5,impossible,0.7857142857142857
157,impossible,0,5,inconceivable,0.9285714285714286
158,impossible,0,5,syntactic,0.9642857142857143
159,impossible,0,5,train,0.875
160,impossible,0,6,improbable,0.6428571428571429
161,impossible,0,6,impossible,0.75
162,impossible,0,6,inconceivable,0.9285714285714286
163,impossible,0,6,syntactic,1.0
164,impossible,0,6,train,0.875
165,impossible,0,7,improbable,0.6785714285714286
166,impossible,0,7,impossible,0.8214285714285714
167,impossible,0,7,inconceivable,0.9285714285714286
168,impossible,0,7,syntactic,0.9642857142857143
169,impossible,0,7,train,0.9107142857142857
170,impossible,0,8,improbable,0.5714285714285714
171,impossible,0,8,impossible,0.8571428571428571
172,impossible,0,8,inconceivable,0.9642857142857143
173,impossible,0,8,syntactic,1.0
174,impossible,0,8,train,0.9196428571428571
175,impossible,0,9,improbable,0.5714285714285714
176,impossible,0,9,impossible,0.8214285714285714
177,impossible,0,9,inconceivable,1.0
178,impossible,0,9,syntactic,1.0
179,impossible,0,9,train,0.8839285714285714
180,impossible,0,10,improbable,0.5714285714285714
181,impossible,0,10,impossible,0.9285714285714286
182,impossible,0,10,inconceivable,0.9642857142857143
183,impossible,0,10,syntactic,1.0
184,impossible,0,10,train,0.9107142857142857
185,impossible,0,11,improbable,0.5
186,impossible,0,11,impossible,0.9642857142857143
187,impossible,0,11,inconceivable,0.9642857142857143
188,impossible,0,11,syntactic,1.0
189,impossible,0,11,train,0.9285714285714286
190,impossible,0,12,improbable,0.6428571428571429
191,impossible,0,12,impossible,0.9642857142857143
192,impossible,0,12,inconceivable,0.9642857142857143
193,impossible,0,12,syntactic,1.0
194,impossible,0,12,train,0.9285714285714286
195,impossible,0,13,improbable,0.7142857142857143
196,impossible,0,13,impossible,0.8928571428571429
197,impossible,0,13,inconceivable,1.0
198,impossible,0,13,syntactic,1.0
199,impossible,0,13,train,0.9285714285714286
200,impossible,0,14,improbable,0.6785714285714286
201,impossible,0,14,impossible,0.9285714285714286
202,impossible,0,14,inconceivable,0.9642857142857143
203,impossible,0,14,syntactic,0.9642857142857143
204,impossible,0,14,train,0.9375
205,impossible,0,15,improbable,0.6785714285714286
206,impossible,0,15,impossible,0.9642857142857143
207,impossible,0,15,inconceivable,0.9642857142857143
208,impossible,0,15,syntactic,0.9642857142857143
209,impossible,0,15,train,0.8928571428571429
210,impossible,0,16,improbable,0.6071428571428571
211,impossible,0,16,impossible,0.9642857142857143
212,impossible,0,16,inconceivable,0.8928571428571429
213,impossible,0,16,syntactic,0.9285714285714286
214,impossible,0,16,train,0.9196428571428571
215,impossible,0,17,improbable,0.75
216,impossible,0,17,impossible,0.9642857142857143
217,impossible,0,17,inconceivable,0.9642857142857143
218,impossible,0,17,syntactic,0.9642857142857143
219,impossible,0,17,train,0.9017857142857143
220,impossible,0,18,improbable,0.7142857142857143
221,impossible,0,18,impossible,0.9285714285714286
222,impossible,0,18,inconceivable,0.8571428571428571
223,impossible,0,18,syntactic,0.9285714285714286
224,impossible,0,18,train,0.8928571428571429
225,impossible,0,19,improbable,0.6071428571428571
226,impossible,0,19,impossible,0.8571428571428571
227,impossible,0,19,inconceivable,0.9285714285714286
228,impossible,0,19,syntactic,0.9642857142857143
229,impossible,0,19,train,0.8928571428571429
230,impossible,0,20,improbable,0.6071428571428571
231,impossible,0,20,impossible,0.8571428571428571
232,impossible,0,20,inconceivable,0.8928571428571429
233,impossible,0,20,syntactic,0.9642857142857143
234,impossible,0,20,train,0.8928571428571429
235,impossible,0,21,improbable,0.75
236,impossible,0,21,impossible,0.8571428571428571
237,impossible,0,21,inconceivable,0.8571428571428571
238,impossible,0,21,syntactic,0.9642857142857143
239,impossible,0,21,train,0.8928571428571429
240,impossible,0,22,improbable,0.6428571428571429
241,impossible,0,22,impossible,0.8928571428571429
242,impossible,0,22,inconceivable,0.8571428571428571
243,impossible,0,22,syntactic,0.9642857142857143
244,impossible,0,22,train,0.8839285714285714
245,impossible,0,23,improbable,0.6071428571428571
246,impossible,0,23,impossible,0.9285714285714286
247,impossible,0,23,inconceivable,0.8571428571428571
248,impossible,0,23,syntactic,0.9285714285714286
249,impossible,0,23,train,0.875
250,impossible,0,24,improbable,0.6785714285714286
251,impossible,0,24,impossible,0.8928571428571429
252,impossible,0,24,inconceivable,0.7857142857142857
253,impossible,0,24,syntactic,0.8928571428571429
254,impossible,0,24,train,0.875
255,impossible,0,25,improbable,0.6428571428571429
256,impossible,0,25,impossible,0.8571428571428571
257,impossible,0,25,inconceivable,0.8214285714285714
258,impossible,0,25,syntactic,0.9285714285714286
259,impossible,0,25,train,0.9107142857142857
260,inconceivable,0,0,improbable,0.4642857142857143
261,inconceivable,0,0,impossible,0.4642857142857143
262,inconceivable,0,0,inconceivable,0.8214285714285714
263,inconceivable,0,0,syntactic,0.75
264,inconceivable,0,0,train,0.9107142857142857
265,inconceivable,0,1,improbable,0.5
266,inconceivable,0,1,impossible,0.6428571428571429
267,inconceivable,0,1,inconceivable,0.75
268,inconceivable,0,1,syntactic,0.8214285714285714
269,inconceivable,0,1,train,0.8928571428571429
270,inconceivable,0,2,improbable,0.5357142857142857
271,inconceivable,0,2,impossible,0.5
272,inconceivable,0,2,inconceivable,0.8214285714285714
273,inconceivable,0,2,syntactic,0.9285714285714286
274,inconceivable,0,2,train,0.9017857142857143
275,inconceivable,0,3,improbable,0.5357142857142857
276,inconceivable,0,3,impossible,0.5357142857142857
277,inconceivable,0,3,inconceivable,1.0
278,inconceivable,0,3,syntactic,1.0
279,inconceivable,0,3,train,1.0
280,inconceivable,0,4,improbable,0.5357142857142857
281,inconceivable,0,4,impossible,0.6785714285714286
282,inconceivable,0,4,inconceivable,0.9642857142857143
283,inconceivable,0,4,syntactic,1.0
284,inconceivable,0,4,train,0.9910714285714286
285,inconceivable,0,5,improbable,0.6428571428571429
286,inconceivable,0,5,impossible,0.75
287,inconceivable,0,5,inconceivable,0.9642857142857143
288,inconceivable,0,5,syntactic,1.0
289,inconceivable,0,5,train,0.9910714285714286
290,inconceivable,0,6,improbable,0.5357142857142857
291,inconceivable,0,6,impossible,0.75
292,inconceivable,0,6,inconceivable,0.9285714285714286
293,inconceivable,0,6,syntactic,1.0
294,inconceivable,0,6,train,0.9910714285714286
295,inconceivable,0,7,improbable,0.5714285714285714
296,inconceivable,0,7,impossible,0.75
297,inconceivable,0,7,inconceivable,1.0
298,inconceivable,0,7,syntactic,1.0
299,inconceivable,0,7,train,0.9910714285714286
300,inconceivable,0,8,improbable,0.4642857142857143
301,inconceivable,0,8,impossible,0.75
302,inconceivable,0,8,inconceivable,1.0
303,inconceivable,0,8,syntactic,1.0
304,inconceivable,0,8,train,0.9910714285714286
305,inconceivable,0,9,improbable,0.6071428571428571
306,inconceivable,0,9,impossible,0.7142857142857143
